filename,v_shift,h_shift,rotate
1.jpg,65,126,1
2.jpg,67,128,1
3.jpg,67,126,1
4.jpg,66,130,1
5.jpg,65,130,1
6.jpg,66,131,1
7.jpg,96,122,1
8.jpg,65,130,1
9.jpg,66,130,1
10.jpg,68,131,1
11.jpg,30,137,1
